Rk;Player;Age;Pos;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Awards;Player-additional
1;Bennedict Mathurin;23;SF;2;2;36.5;8.5;15.5;0.548;2.5;5;0.5;6;10.5;0.571;0.629;11.5;13;0.885;1.5;5.5;7;2.5;0;0;2.5;3;31;;mathube01
2;Pascal Siakam;31;PF;11;11;34.9;8.6;19.4;0.446;1.5;4.6;0.333;7.1;14.7;0.481;0.486;5.3;8.2;0.644;1.6;5.7;7.4;5.3;1.1;0.4;2.6;3.3;24.1;;siakapa01
3;Aaron Nesmith;26;SF;11;11;30.5;4.9;13.4;0.367;2.8;7.5;0.373;2.1;5.8;0.359;0.473;2.8;3.5;0.795;1.5;2.9;4.5;1.5;0.8;0.3;0.7;2.5;15.5;;nesmiaa01
4;Jarace Walker;22;PF;12;7;29.1;3.4;11.5;0.297;1.5;5.4;0.277;1.9;6.1;0.315;0.362;2;2.4;0.828;0.8;4.4;5.2;3.3;0.4;0.6;2.1;2.1;10.3;;walkeja02
5;Andrew Nembhard;26;PG;5;5;27.4;5.2;14.2;0.366;1.6;6.4;0.25;3.6;7.8;0.462;0.423;5.2;5.4;0.963;0.2;1.2;1.4;6.8;0.4;0;2.2;2.6;17.2;;nembhan01
6;Obi Toppin;27;PF;3;0;27.3;5;12;0.417;1;5.7;0.176;4;6.3;0.632;0.458;3;3;1;1;5.7;6.7;1.7;1;0;2;2.3;14;;toppiob01
7;Ben Sheppard;24;SG;12;5;25.4;2.5;7.8;0.323;1;4.3;0.235;1.5;3.5;0.429;0.387;0.8;1.1;0.769;0.9;3.8;4.7;1.7;0.4;0.2;0.7;2.6;6.8;;sheppbe01
8;Quenton Jackson;27;PG;5;3;20.2;4;7.4;0.541;1.2;2.4;0.5;2.8;5;0.56;0.622;2.6;3.6;0.722;1;2.4;3.4;3.6;1;0.2;1.2;2;11.8;;jacksqu01
9;James Wiseman;24;C;1;1;20;2;3;0.667;0;0;;2;3;0.667;0.667;0;0;;4;0;4;0;0;1;3;2;4;;wisemja01
10;Jeremiah Robinson-Earl;25;PF;7;2;19.4;2;5.6;0.359;0.3;1.6;0.182;1.7;4;0.429;0.385;1.1;1.3;0.889;3;3.4;6.4;1;0.7;0;0.3;1.1;5.4;;robinje02
11;Isaiah Jackson;24;C;12;9;18.6;3.3;6;0.556;0;0;;3.3;6;0.556;0.556;1.6;1.9;0.826;2.6;3.5;6.1;0.9;0.7;0.3;1.2;3.2;8.3;;jacksis01
12;RayJ Dennis;24;PG;10;0;15.6;2;6.7;0.299;1.1;3.5;0.314;0.9;3.2;0.281;0.381;0.6;0.7;0.857;0.8;1.1;1.9;2.5;0.3;0.4;1.2;1.6;5.7;;dennira01
13;Jay Huff;27;C;12;2;14.8;1.8;4.9;0.373;0.8;3.4;0.244;1;1.5;0.667;0.458;0.8;1.1;0.692;1;2.1;3.1;0.8;0.1;1.9;0.6;1.9;5.3;;huffja01
14;Monte Morris;30;PG;4;0;14.5;1.5;4.5;0.333;0.5;1.8;0.286;1;2.8;0.364;0.389;0.3;0.5;0.5;0.3;1.3;1.5;2;0.3;0.3;0.3;0.8;3.8;;morrimo01
15;Tony Bradley;28;C;12;2;13.9;2.5;3.9;0.638;0;0.1;0;2.5;3.8;0.652;0.638;0.8;1.3;0.667;2.2;1.3;3.5;0.8;0.2;0.3;0.3;2.2;5.8;;bradlto01
16;Cody Martin;30;SF;4;0;13.8;0.5;2.5;0.2;0;1.3;0;0.5;1.3;0.4;0.2;0.8;1.5;0.5;0.3;3.3;3.5;0.5;1;0.5;1;1.3;1.8;;martico01
17;T.J. McConnell;33;PG;2;0;13.5;4;10;0.4;0.5;2;0.25;3.5;8;0.438;0.425;0;0;;0.5;0.5;1;1.5;1;0;0;1.5;8.5;;mccontj01
18;Johnny Furphy;21;SG;3;0;12.3;1;2;0.5;0.7;1;0.667;0.3;1;0.333;0.667;0;0;;0.3;1.7;2;0;0.7;0;1;1.3;2.7;;furphjo01
19;Mac McClung;27;SG;3;0;11.3;2.3;6;0.389;0.7;3.3;0.2;1.7;2.7;0.625;0.444;1;1.3;0.75;0;1.3;1.3;0.3;1.7;0.3;0.7;2;6.3;;mccluma01
20;Taelon Peter;23;SG;8;0;9.3;0.5;2.1;0.235;0.5;2;0.25;0;0.1;0;0.353;0.4;0.4;1;0.4;1;1.4;1;0.3;0.1;0.9;0.4;1.9;;peterta01
;Team Totals;;;12;12;244.2;38;95.2;0.399;11.2;37.8;0.295;26.8;57.3;0.468;0.458;21.3;27.8;0.769;14.7;32.8;47.4;23.3;6.3;4.8;13.8;24.3;108.5;;-9999
